,Comments,label
723,WHO CARES.... GOETHEAN IS A capuchin monkeys anyway,1
1190,"""

I don't mind """"merciless editing"""" or """"redistribution""""—it's deletion by idiots that bothers me.  Don't misunderstand me: my earlier statement was no ultimatum.  I will discuss my experiences on WP either way, and in any case there is no going back: I now know that that power-infatuated admins will delete without discussion, and I don't care to try my luck.  Your threat to """"show me the door"""" is ludicrous.  (1) You have no basis—you're just being a dick.  (Not that that would stop you).  (2) What do I care?  I don't benefit from my contributions.  If the royal you doesn't want my help, you can go fuck yourselves.  Ciao. - """,1
387,"""
Feck off, you waste of time.  talk """,1
86,I've requested a change to Wolfpuss - congratulations to all dirty thinkers in our community. (!) I submit to your naughtiness.,1
2831,"Ariel Winter Celebrates One-Year Anniversary With Boyfriend Levi Meaden

Ariel Winter celebrated her one-year anniversary with boyfriend Levi Meaden on Sunday, November 12, posting a sweet love note on Instagram.

“Happy 1 year anniversary my love,” she captioned two pics with her beau. “I’m the luckiest girl in the entire world. Thank you for being the incredible man you are, and for making me the happiest I could’ve ever imagined. Here’s to many, many more. I love you. P.S. your crazy butt is the only one who could ever make me agree to jumping off a cliff at a waterfall soooo yeah. I love you.”

Happy 1 year anniversary my love. I’m the luckiest girl in the entire world. Thank you for being the incredible man you are, and for making me the happiest I could’ve ever imagined. Here’s to many, many more. I love you. ❤️ P.S. your crazy butt is the only one who could ever make me agree to jumping off a cliff at a waterfall soooo yeah. I love you.

The first pic showed them in their red carpet finest, while the second photo featured her in a pink bikini with her legs wrapped around Meaden, 30, as they kissed near a waterfall.

The Aftermath star posted his own tribute to the Modern Family actress, 19, writing, “I can’t believe it’s been a year. We’ve had adventures. Gotten dolled up countless times. And traveled through 3 continents together. I never imagined I’d be this happy. I love you more than anything! Happy anniversary Peanut Butter!!!!”

Earlier this week Winter dished to Us Weekly about Meaden, saying that they “have a great relationship.”

“He’s just the loveliest person, he loves me through thick and thin,” she told Us. “He’s always telling me, no matter what I’m wearing, no matter what I’m doing, that I’m beautiful.”

The couple live together in L.A. in a house that Winter bought last year.

“My boyfriend and I live together, and he cooks,” she told Jimmy Kimmel this past May. “I can’t cook at all. He takes care of all that handy stuff. He’s great, he does all that. I can bake a pie occasionally. Pumpkin and apple. I baked those two the other day. They were edible.”

",0
1430,"""

One of the things on my wishlist is to automatically create maps and title coordinates using the """"lat"""" and """"long"""" fields in the French infobox. But that's for later. BTW once you've added an infobox you need to check the links in it, for instance in the Saint-Pierre-d'Entremont the link to the arrondissement is broken (just fixed it). That takes time, so I'll finish the stubs first. Actually, what I do is add the ones others have missed.  Talk """,0
1306,"Vince - FYI 'Yellowfrogs' is (Longdendale) Councillor Sean Parker Perry, a frequent purveyor of 'Greenwash' and four square behind the destruction of Swallows Wood via his support for the bypass. He is vigourously re-editing the wikpedia pages on the Longdendale Bypass, his own and Roy Oldham's page in order to boost his fake 'green' credentials and obfuscate the neutrality of these articles. He gets nasty if he gets pissed off (threatens spurious legal action), but fortunately, he's legally illiterate, so don't be put off.",0
2271,"""
If I get a chance, I'll upload a shot of the 1994 Indy 500/Brickyard 400 bug, since it was the """"first."""" I have that availible. I can also put some other sports ones up as well.  """,0
2361,"""
I am coming late to this but I am unaware of any Muslim group that rejects Khadija as the first convert. The story of Muhammad's reception of the first revelation and his immediate flight in terror to hide weeping beneath Khadija's robe is a beloved tradition. While the authenticity of the many ahaadith is debated, this event is considered a crucial part of his revelation. I think the introduction """"According to Muslim traditions"""" perfectly suits this situation, given that the event is only recorded by Muslims.

I would be interested if anyone knows of a competing tradition, because admittedly this is not my speciality.

Also, Happy Mevlüt to y'all. '''''' smash! """,0
184,"Your hypocrisy amuses me. 

Look at your userpage. It has webhost written all over it. If i had to lose mine, which i might add, was of religious value to me, then you must certainly have to remove yours. Take a look at User Guinnog for example. This also has webhost written all over it. I put it to you, you elitist, authoritarian administrator, that your userpage is not in line with the goals of wikipedia.

What do i have to do to become an admin? I'm told I'd be a great addition to 'the team'. 

Many Spanks...sorry...thanks, (Percy Nobby Norton got to the keyboard again)..",1
1286,"""

 Yobot: incorrect DEFAULTSORT 

Hi, Yobot  an incorrect DEFAULTSORT. It's puzzling as to why it didn't recognize the article as being about a person. Among other clues, it included birth and death dates at the top, as well as a  (which Yobot substituted to additionally include the correct DEFAULTSORT).  • XAЯAbИAM """,0
1933,"By the way I would like to point out Nick made a mistake in his own original lyrics in this performance'

which should say - My GOOD hand tattooed EVIL across his Brothers fist and those filthy five did nothing to challenge or resist.

So you can hopefully now understand - when he says - My killing hand called EVIL bears a wedding band that's good it has been a long suffering shackle collaring my REBEL BLOOD.",0
208,"Best Player in the NBA 

Rashard Lewis, if you don't agree fuck you.",1
1755,"I took a look at his edits, and he's been back since the 4th. So far only two of his edits have been about the adult scene: the Jenna Jameson article, and the Joey Yale article. The first you knew about, the second was his classic link removal job and had already been reverted. All his other edits have been to sundry athlete articles, where he seems to be adding details about their high school years which is okay by my book...",0
1884,"""

STOP!! The interwiki tags are the difference. Have you even looked on the other wikipedia and even considered wikipedia would be better off having the article in English?? .♦ Dr. Blofeld """,0
1373,"Well, Arthur, I have printed the paper, and the condition is in fact what Ultra.Power says it is, not your correction. It seems that the paper is not incorrect, but rather correct and pointless.

You have already identified the worst problem: The third condition requires incontinuity of f at all integer values. However, this problem disappears if we consider only the special case a=e. So let's do that.

We want a function f satisfying f(1)=e and f(n+1)=exp(f(n)), defined as widely as possible. We observe that n=0 and n=1 present no problems: f(0)=1 and f(-1)=0.

To extend f to all positive real numbers, it is clearly sufficient to define f on an interval of length 1, such as [0,1).

And we want f to be continuously differentiable. (The paper only requires f to be continuously differentiable on (0,1), or equivalently on (-1,0). This is obviously whacky, but we needn't worry about this because a=e.)

Next, for no obvious (or explained) reason we require that f ' is monotone on the interval [0,1]. From the functional equation f(x) = ln f(x+1) we get f '(x) = f '(x+1)/f(x+1). Hence f '(-1)=f '(0)/f(0)=f '(0), so f ' must be constant on [0,1]! 

Not too surprisingly, the function we get in this way is patched together from smaller pieces in a relatively unnatural way: f(x) = exp[x](exp(x-[x])).

Thus what I learned from the paper is that the correct solution to the problem probably has a minimum of its derivative between -1 and 0.",0
1745,"""

 requesting your thought 

Talk:Karen Gillan """"Lady Godiva incident"""" I would like for you to weigh in on whether or not it should be added. Thanks   """,0
157,"Jog on Hitler, nobody wants to hear from you.",1
1001,"Hey everybody, FYI, don't bother posting on Scalzi's website. He deletes posts critical of himself, and he'll do it over and over. That guy he describes on his bio is pretty much the opposite of him: he hates confrontation except on his own terms, and can't handle criticism. In fact he will go to great lengths to hide it from others, all that crap about liking to argue is pretty ridiculous. The only thing that's true about that page is probably that he does indeed taunt people, however he seems to have a problem handling the type of shit he dishes out. So stick to his page here, where at least the facts aren't relative to Scalzi's ego.",1
904,"""

 hello Dick Head 

you are my new friend for life.  — Preceding unsigned comment added by 14.2.185.89   """,1
2081,"Here is the diff. Well, since you always use bare URLs and you never bother to include information about the source, you'll have to forgive me for thinking that was a excerpt from Hoppe himself since you have claimed so often in the past it was OK to use them. I see now that the fact that David Gordon is writer and editor is in tiny letters on top. Now its worthwhile investigating your interpretation. I just have to remind myself to quadruple check all your bare URLs and ask you if that is what you meant to ref, I guess. '' - talkie talkie🗽",0
461,"""

I think all of you americans you have a real attitude and mental problem !TAB
First you live in a World full of conspiracy and spyies . You STILL believe that America won Vietnam, that YOU (especially you) are a Americqan soldier hero ....pffff...TAB
Anyway no need to show  you more proves of how crazy and idiots americans are - by the way ...what happend in Ferguson ? Is """"American democracy"""" ? a ? THE Cowboy LAW ! All you you a bunch of stupid, incredible stupid cowboys !!!TAB
One guy enter in a shop, he molest the cashier, still some products, push away the employee and YOU...AMERICANS ...what you do ?TAB
You go in the street screaming - wasn't his  fault !TAB
You are a JOKE OF people !
A bunch of iditos !
But anyway, from my point of view ...keep thinking and acting like this.Alredy the whole Europe, Asia and in specially Russia DON'T like you at all !
You will end up of being the """"paria"""" of World ! -IF you know what that means !
It seems that what i was trying to explain to you was just something for a american military idiot who thinks he is STILL in 'Nam ! TAB
I'm doing contributions to many articles you dumb stupid fag from ALL OVER THE WORLD because i travel a lot with my work and in my free time i try to do something USEFUL !!!!!
You stupid piece of shit !TAB
You can do WHATEVER YOU WANT because I DON'T CARE  !!! I DO NOT sympathize with ANY publication, news, website, so I DON'T CARE ! And as long as i edit article, by ADDING USEFUL info's from a lot of different IP's ll over the world, what you will do ? BLOCK them ALL ? !
You stupid dumb !
You cannot take my opinion away !
And as i travel, i will continue to DEVELOP AND SUPPORT Wikipedia NOT with ....stupid accusations !
So SHUT UP and keep dreaming on the American way !TAB
Ok ?

Aaaa...so why is that when he is """"dreaming"""" on conspiracy"""" and is ACCUSING me  that i'm doing SPAM ??? And laughing like a little perp about """"shooting myself in the foot"""" and """"boomerang"""" ??? What the hell is this ? Why he is making accusations ? Aaaaa...i forgot ! Upssss...he IS AN AMERICAN !!!! And ALLL AMERICANS have """"the right"""" to do WHATEVER  THEY WANT in the WHOLE WORLD  no ?
Invading other countries, CLAIMING that ...aaaaa...ups ...Ukraine was defenseless ...Syria the same ..now Bagdad again ... C\mon on ! Let's do on Wikipedia THE SAME NO ???

If  - as i mentioned before - i use MANY IP's while travelling, i edit from different IP's and one user i was using it just from time to time like this one and IT HAPPEN that i was REMOVING and ADDING some links from some pages where i read DIFFERENT Info's related with THAT wiki article, WHY HE IS SO IDIOT and makes  accusations ?!
And then EXACTLY like a ... american cowboy is """"hunting me"""" and accusing that i'm using IN THE SAME TIME another IP ????
Is he CRAZY ?
Why only him is making accusations and IS OK ?
IF HE continue like this I WILL make complains and report abuse and send to dispute and admins !
I also have my rights no ?

TELL HIM TO STOP playing like a stupid child and STOP accusations, and i will mind my way !""",1
171,"Fuck you, Smith.  Please have me notified when you die.  I want to dance on your grave.",1
2299,"""

 Lack of Follow-Up by User:Ktr101|Kevin Rutherford on deletion made 26 November 2011 - is confirmed VANDALISM by lack of response after 97 days. 

Mr. Rutherford has made no attempt to answer here about his deletion of sourced content whose veracity is as strong or stronger than what User:Mikenorton (above) assesses as 'reliable sources' (i.e. Orey, Cal (2006) book as source material.) [gleefully he wrote above: """"That's much better - I can actually see the wood for the trees now.""""]  In addition, by implication User:Mikenorton is implying that wikipedia articles themselves are unreliable (as sources).  This is evidence for censorship by User:Mikenorton as well.  If you want to be taken seriously User:Mikenorton I suggest you read and comprehend the deleted material before spouting """"misrepresenatations of fact"""" about the deleted material.""",0
967,"Please keep your whining off my talk page, KTHXBI.",1
2044,"I just did a re-read of Murder Machine, and it says that Katz got off three shots at Rosenberg - one shot hit his jaw, a second shot hit his arm, and a third shot grazed his chest.",0
2323,"Correction! Got it wrong, the above website is an attack on the Jesus Seminar.",0
1471,"""
 Sammy 
I added the referenced fact the bin Laden was known as """"Sammy"""" in his youth. I accept that it might seem like vandalism that the arch super villain had a semi-westernised childhood, but this is an encyclopedic fact. I believe my original edit should be reinstated.   """,0
81,"""

 Barbarians 

The Chinese as a country are nothing but disgusting barbarians. I highly recommend every and all Chinese people to flee the horrors of the CCP before they come for YOU next! Its now official, over 20,000 Falun Gong have been murdered in this genocide but the official numbers are not certain due to the """"iron curtain"""" around China. We haven't seen such destruction and genocide since the Soviet Union! Those damn Chinese. I feel bad for the Falun Gong. I hope every CCP dies of a horrible skin disease.""",1
2400,"""
Which is why I keep asking you to get WP:Autoreviewer. By the way, why did you change the spelling of Shadowbrook?—Spiff """,0
2284,"Misleading Intro 

First sentence: Czechoslovakia (Czech: Československo, Slovak: Česko-Slovensko/before 1990 Československo)
Isn't it strange? From this I understand, that name Česko-Slovensko was oficial name 1990-92 only in  Slovak/ia, but it was oficial name of whole Czechoslovakia. I'd propose following sentence:
Czechoslovakia (Czech, Slovak: Československo, after 1990 Česko-Slovensko)",0
2328,I agree with Autospark.,0
1953,"I want to say that Berksguy is the one that is the kook.  He acts as if I am the one causing all of this.  When I do edits I use my login.  I'm not ashamed to back my views and put my name next to them.  However Berksguy needs to realise that other people out there feel the same way, and it is rather silly to think that every user that posts something that does not fit his agenda is me.  I do however believe that all of the actions of Mayor McMahon should be displayed good or bad if sourced and that includes his crazy words about supporting Illegal Aliens as was sourced.  George W. Bush, Robert Byrd, etc. have tons of sourced actions both good and bad toward those persons, and the same standard should apply to Tom McMahon. (}",0
656,"Now that Specifico has chimed in with the usual bullshit, it is time to close this discussion.  –",1
476,So he forgot to change his signature. Don't go around telling people what their religions are you anti-Islamic zealots.,1
1876,"Reigning Monarch? 

I am by no means an expert on French domestic politics, but something tells me that Sarkozy should not be listed under category Reigning Monarchs. If somebody with admin status could rectify this I would be grateful. Thanks.
166.82.48.137",0
1045,"are you the tosser behind the closerlookonsyria? - you are a facsist Putinist shill  and liar - you fucking idiot - you think  shabiha nothing to dow with hola, russia nothing to do with mh 17, aside regime nothing to do with ghostsa - you fucking facsist moron",1
2542,"Brad Pitt reportedly dating Princess Charlotte of Monaco

Find out the ins and outs of the allege­d 'love story' here

Following a bitter break-up from actress Angelina Jolie, rumours surfaced suggesting Fight Club star Brad Pitt to have moved on. That too, with a princess – Princess Charlotte Casiraghi of Monaco to be specific, reported Australian magazine New Idea.

The two allegedly made their public appearance as a couple last week as they attended a Los Angeles Country Museum of Art event together, the magazine further reported.

Angelina Jolie: Brad Pitt is ‘terrified’ that the truth will come out

“No one could believe it when we saw them together,” sources told the magazine. They continued, “There have been rumours circulating for weeks that Brad has moved on with a new woman but no one was ready to see him hand-in-hand with royalty from Monaco.”

31-year old Charlotte and Brad were seemingly introduced to each another by Brad’s Allied co-star and good friend Marion Cotillard as she is very close friends with Charlotte. Marion, who Brad has previously been linked with, was keen for him to find happiness after Brad’s messy split with Angelina.

Brad Pitt finally opens up about his bitter divorce with Angelina Jolie

However, Gossip Cop has called the Australian magazine out on this story and went on to ‘set the record straight’. Gossip Cop is a website that patrols the celebrity gossip industry in search of discrediting untrue rumours.

Not only are the actor and royal not dating, she isn’t even a princess, reported the online platform. Charlotte is the daughter of Princess Caroline of Hanover and is not a princess herself. She is the granddaughter of actress turned Princess Grace Kelly.

After checking in with Brad himself, Gossip Cop went on to state that the actor exclusively assured them that he and Charlotte are not in a relationship. New Idea’s article regarding the non-existent relationship was simply bogus.

",2
1937,"""Would you mind explaining to me why my making a few observations about Gwen Gale (in this thread) is different from you making a few observations about this other person who you described as having """"habitual, unrepentant, and seemingly reflexive incivility"""". If anything, your comments seem more severe than mine. 90.213.182.228  

""",0
2159,REDIRECT Talk:Paul Gore (ice hockey),0
1613,Alyssaa oconnor is reatrded,0
588,"""

 Dumbass 
There is no other word to describe your edit to my user page.  There's also no way in hell I like any of the bands or things you were trying to list on my page.  Try it again and you'll be blocked.  Not to mention I have an idea of who you are (though I may be wrong) and I'll remind you that sockpuppetry is against wikipedia rules.  I also don't like people trying to impersonate me.  I could get you blocked for that alone. If only I could reach through your computer and grab your scrawny little neck...  $ODIN$ """,1
1764,"Picture 
Just a suggestion, maybe we should move the picture of Jay and Sean up to the main picture of Sean.",0
1698,"""

 MS JACKSON LYRICS 

[Andre 3000]
Yeah this one right here goes out to all the baby's mamas, mamas...
Mamas, mamas, baby mamas, mamas
Yeah, go like this

CHORUS: Andre 3000
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times

[Big Boi]
My baby's drama mama, don't like me
She be doin things like havin them boys come from her neighborhood 
to the studio tryin to fight me
She need to get a, piece of the american pie and take her bite out
That's my house, I'll disconnect the cable and turn the lights out
And let her know her grandchild is a baby, and not a paycheck
Private school, daycare shit, medical bills, I pay that
I love your mom and everything, but see I ain't the one who laid down
She wanna rib you up to start a custody war, my lawyers stay down
She never got a chance 
to hear my side of the story we was divided
She had fish fries and cookouts 
for my child's birthday I ain't invited
Despite it, I show her the utmost respect when I fall through
All you, do is defend that lady when I call you, yeah

CHORUS:
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times

[Andre 3000]
Me and your daughter.. got a special thang goin on
You say it's puppy love (arf arf arf)
We say it's full grown (ARF ARF WOOF!)
Hope that we feel this.. feel this way forever
You can plan a pretty picnic
but you can't predict the weather, Ms. Jackson

Ten times out of nine, now if I'm lyin; fine
The quickest muzzle throw it on my mouth and I'll decline
King meets queen, then the puppy love thing, together dream
bout that crib with the Goodyear swing
on the oak tree, I hope we feel like this forever
Forever, forever, ever, forever, ever?
Forever never seems that long until you're grown
And notice that the day by day ruler can't be too long
Ms. Jackson my intentions were good I wish I could
become a magician to abracadabra all the sadder
thoughts of me, thoughts of she, thoughts of he
Askin what happened to the feelin that her and me
Had, I pray so much about it need some knee, pads
It happened for a reason one can't be, mad
So know this, know that everything is cool
And yes I will be present on the first day of school, 
and graduation

CHORUS:
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times

[Big Boi]
Uh, uh, yeah
""""Look at the way he treats me"""" 
Shit, look at the way you treat me
You see your little nosy-ass homegirls 
done got your ass sent up the creek G
Without a paddle, you left to straddle 
and ride this thing on out
Now you and your girl ain't speakin no more 
cause my dick all in her mouth
You know what I'm talking about Jealousy, infidelity, envy
Cheating to beating, and D to the G they be the same thing
So who you placin the blame on, you keep on singin the same song
Let bygones be bygones, you can go on and get the hell on
You and your mama

CHORUS:
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times
I'm sorry Ms. Jackson [OOOH]
I am for real
Never meant to make your daughter cry
I apologize a trillion times""",0
166,"""
""""To denude it of its context is obscene?"""" What on earth are you talking about? What is """"obscene"""" is inserting into this article POV excuses for blowing up buses and restaurants and nightclubs filled with teenagers. Don't do it again. (talk) """,1
254,"""== Your ignorant comments ==

In response to your Please do not remove content from Wikipedia. It is considered vandalism. If you would like to experiment, please use the sandbox. Thank you.   —khoi @

Your record indicates that you were banned as a vandal several times and asked for a defense several times. Also, your record indicates that Bertil videt asked you to revert some legitimate changes without reason and you did it because he asked you, vandalazing good content that did not suit him or you. You should talk. Also please read your own talk page regarding many other warnings given to you by other users. Also be a man (at least try) and deal with your own talk page rather than begging others to hold your hand.

Before acting as a functional illiterate, you should have read the pertinent prior discussion already took place in the talk page on the removed content which has no place in a biography. By the way, how is your boyfriend Bertil Videt doing? I read sensational stuff on his talk page which he keeps hiding. Did you get to meet with his other boyfriends yet?

""",1
1032,"Your user page 

Well this is strange, look at this.

Not sure what you were doing with this edit but you could have achieved the same result by hitting rollback on yourself with the edit that followed. I see you use Rollback everywhere else, so tell me, did you go to school to be stupid or were you born with this condition?",1
1642,"""

 Speedy deletion of """"Zac goodman"""" 

 A page you created, Zac goodman, has been tagged for deletion, as it meets one or more of the criteria for speedy deletion; specifically, it is about a person or group of people, but it does not indicate how they are important or significant, and thus why they should be included in an encyclopedia. Please see the guidelines for what is generally accepted as notable, and the guidelines for biographies in particular.

You are welcome to contribute content which complies with our content policies and any applicable inclusion guidelines. However, please do not simply re-create the page with the same content. You may also wish to read our introduction to editing and guide to writing your first article.

Thank you.   """,0
881,Virtual Steve can burn in hell.,1
2562,"Ellen DeGeneres Is Now In The Middle Of Kelly Ripa And Michael Strahan’s Feud After Segment On Her Show

It is a known fact that there is bad blood between Kelly Ripa and her former co-chair, Michael Strahan, and now Ellen DeGeneres is caught in the middle.

Last month, the host of The Ellen DeGeneres Show and Strahan sat down for a silly segment.

The two popular TV personalities tackled various topics. The episode was well received, and the millions of people who watched it saw nothing out of the ordinary.

However, according to sources, who spoke to Star, Portia de Rossi’s wife is having what would be considered as buyer’s remorse.

It is being claimed that the host of LIVE did not appreciate DeGeneres’ having her nemesis on the show.

According to the the the publication, Ripa felt betrayed by DeGeneres whom she considered as a friend.

Aware that she got on Ripa’s nerves, DeGeneres has allegedly reached out and apologized for the mistake.

It is not known if Ripa has accepted such apology nor if the ladies have been able to amend their friendship.

The former American football defensive end and Ripa were the co-hosts of Live! with Kelly and Michael from 2012 to 2016.

In spring 2016, he abruptly left the show to join ABC morning television show, Good Morning America.

The ex-athlete was slammed on numerous occasions by Ripa who said she was furious over Strahan’s decision to dump her without warning.

Strahan hit back by stating: “The most disappointing thing to me was that I was painted as the bad guy because I value the way I carry myself. I do not want people to see me as ‘Oh, he just ran out, just left them there.’ That is just not true.”

Strahan confirmed that they no longer talk.

In a past interview, he said: “At one point I think we were friends. I do not know what happened at the end. I learned a lot from her, though.”

He added: “I was not surprised by her reaction at all, but I cannot control somebody else’s actions. I was there four years, and it is about more than just being in front of the camera.”

An article recently appeared on BET, where an insider said Strahan wants to have a sit-down with Ripa.

The source revealed: “Michael is 100% behind meeting with Kelly and clearing the air. These two were TV-husband-and-wife for many years and to go from seeing someone five days a week to having zero contact makes no sense to him. Through mutual friends, Michael has made it clear that he would love to set up drinks or a private meeting with Kelly.”

It is being claimed Ripa has turned him down.
",2
