title,link
PepsiCo International Ltd t/a Lipton Tea,https://www.asa.org.uk/rulings/pepsico-international-ltd-g25-1284970-pepsico-international-ltd.html
PharmaRx Ltd t/a Cloud Pharmacy,https://www.asa.org.uk/rulings/pharmarx-ltd-a24-1264777-pharmarx-ltd.html
Phlo Technologies Ltd t/a Phlo Clinic,https://www.asa.org.uk/rulings/phlo-technologies-ltd-a24-1264768-phlo-technologies-ltd.html
Phlo Technologies Ltd t/a Phlo Clinic,https://www.asa.org.uk/rulings/phlo-technologies-ltd-a24-1272394-phlo-technologies-ltd.html
SemaPen Ltd,https://www.asa.org.uk/rulings/semapen-ltd-a24-1264772-semapen-ltd.html
Yazen Health AB t/a Yazen,https://www.asa.org.uk/rulings/yazen-health-ab-g25-1278617-yazen-health-ab.html
Cosmos Oyun Yazilim Sanayi Ticaret Ltd Sirketi t/a Filter AI,https://www.asa.org.uk/rulings/cosmos-oyun-yazilim-sanayi-ticaret-ltd-sirketi.html
GTOHero Ltd t/a GTO Hero,https://www.asa.org.uk/rulings/gtohero-ltd-a25-1275239-gtohero-ltd.html
Good Guru Ltd t/a Protein World,https://www.asa.org.uk/rulings/good-guru-ltd-a25-1282503-good-guru-ltd.html
Kenvue UK Ltd t/a Listerine,https://www.asa.org.uk/rulings/kenvue-uk-ltd-g25-1285500-kenvue-uk-ltd.html
LEBOM Ltd,https://www.asa.org.uk/rulings/lebom-ltd-g25-1288328-lebom-ltd.html
Mondelez UK Ltd t/a Cadbury,https://www.asa.org.uk/rulings/mondelez-europe-services-gmbh---uk-branch-a25-1276004-mondelez-uk-ltd.html
Wowcher Ltd,https://www.asa.org.uk/rulings/wowcher-ltd-a25-1282964-wowcher-ltd.html
Wowcher Ltd,https://www.asa.org.uk/rulings/wowcher-ltd-a25-1284837-wowcher-ltd.html
Wuxi Zhan'ao E-commerce Co Ltd t/a Lpows.com,https://www.asa.org.uk/rulings/wuxi-zhan-ao-e-commerce-co-ltd-a25-1289901-wuxi-zhan-ao-e-commerce-co-ltd.html
Bodystreet Franchise (UK) Ltd t/a Bodystreet,https://www.asa.org.uk/rulings/bodystreet-franchise--uk--ltd-a24-1271058-bodystreet-franchise--uk--ltd.html
HOMA Games SAS,https://www.asa.org.uk/rulings/homa-games-sas-a25-1285213-homa-games-sas.html
Honeytech Ltd t/a Honeytoon,https://www.asa.org.uk/rulings/honeytech-ltd-g25-1287790-honeytech-ltd.html
SaffPro,https://www.asa.org.uk/rulings/saffpro.html
Koi Footwear Ltd,https://www.asa.org.uk/rulings/koi-footwear-ltd-a25-1286163-koi-footwear-ltd.html
CLF Distribution Ltd,https://www.asa.org.uk/rulings/clf-distribution-ltd-a24-1271985-clf-distribution-ltd.html
LC International Ltd t/a Ladbrokes,https://www.asa.org.uk/rulings/lc-international-ltd-g25-1274110-lc-international-ltd.html
Mars Wrigley Confectionery UK Ltd,https://www.asa.org.uk/rulings/mars-wrigley-confectionery-uk-ltd-g25-1285557-mars-wrigley-confectionery-uk-ltd.html
Navi Organics Ltd,https://www.asa.org.uk/rulings/navi-organics-ltd-a24-1272405-navi-organics-ltd.html
LiveScore Betting & Gaming (Gibraltar) Ltd t/a LiveScore Bet,https://www.asa.org.uk/rulings/livescore-betting---gaming--gibraltar--ltd-a25-1274875-livescore-betting---gaming--gibraltar--ltd.html
Menwell Ltd t/a Manual,https://www.asa.org.uk/rulings/menwell-ltd-a25-1277445-menwell-ltd.html
AirDoctor LLC t/a AmazingAir,https://www.asa.org.uk/rulings/airdoctor-llc-a24-1273039-airdoctor-llc.html
Turner Lewis Ltd,https://www.asa.org.uk/rulings/turner-lewis-ltd-a24-1270072-turner-lewis-ltd.html
UAB Convenity t/a Huusk,https://www.asa.org.uk/rulings/uab-convenity-a25-1281612-uab-convenity.html
