heading,link
Luxury Lodge Estates Company Ltd t/a Luxury Lodges,https://www.asa.org.uk/rulings/luxury-lodge-estates-company-ltd-a24-1256125-luxury-lodge-estates-company-ltd.html
Next Retail Ltd t/a NEXT,https://www.asa.org.uk/rulings/next-retail-ltd-a24-1261164-next-retail-ltd.html
SteadyPay Ltd,https://www.asa.org.uk/rulings/steadypay-ltd-a24-1268111-steadypay-ltd.html
Wilton Bradley Ltd t/a Xootz,https://www.asa.org.uk/rulings/wilton-bradley-ltd-a24-1266482-wilton-bradley-ltd.html
Astrasoft Projects Ltd t/a Sofiadate.com,https://www.asa.org.uk/rulings/astrasoft-projects-ltd-a24-1267015-astrasoft-projects-ltd.html
Banquist Ltd t/a Winedrops,https://www.asa.org.uk/rulings/banquist-ltd-g24-1266185-banquist-ltd.html
DragonPlus Game Ltd t/a Happy Hospital,https://www.asa.org.uk/rulings/dragonplus-game-ltd-a24-1268671-dragonplus-game-ltd.html
ScottishPower Energy Retail Ltd t/a Scottish Power,https://www.asa.org.uk/rulings/scottishpower-energy-retail-ltd-g24-1253901-scottishpower-energy-retail-ltd.html
Wireless Group Media (GB) Ltd t/a Virgin Radio,https://www.asa.org.uk/rulings/wireless-group-media--gb--ltd-a24-1257127-wireless-group-media--gb--ltd.html
Visual Stress Consultancy Ltd,https://www.asa.org.uk/rulings/visual-stress-consultancy-ltd-a24-1253433-visual-stress-consultancy-ltd.html
Health Line,https://www.asa.org.uk/rulings/health-line-a24-1253884-health-line.html
Royalux Competitions Ltd,https://www.asa.org.uk/rulings/royalux-competitions-ltd-a24-1255202-royalux-competitions-ltd.html
The Essence Vault Ltd,https://www.asa.org.uk/rulings/the-essence-vault-ltd-a24-1266056-the-essence-vault-ltd.html
Zimran Ltd t/a Prosperi Academy,https://www.asa.org.uk/rulings/zimran-ltd-a24-1265945-zimran-ltd.html
Endrick Clothing Ltd,https://www.asa.org.uk/rulings/endrick-clothing-ltd-g24-1264925-endrick-clothing-ltd.html
Marren Healthcare Ltd,https://www.asa.org.uk/rulings/marren-healthcare-ltd-a24-1252137-marren-healthcare-ltd.html
"Vacaciones eDreams, S.L. t/a eDreams",https://www.asa.org.uk/rulings/vacaciones-edreams--s-l--a24-1254018-vacaciones-edreams-sl.html
Wahed Invest Ltd,https://www.asa.org.uk/rulings/wahed-invest-ltd-g24-1262171-wahed-invest-ltd.html
Action Rehab,https://www.asa.org.uk/rulings/action-rehab-a24-1252142-action-rehab.html
Addiction Recovery Systems Ltd t/a Rehab Guide,https://www.asa.org.uk/rulings/addiction-recovery-systems-ltd-a24-1252122-addiction-recovery-systems-ltd.html
Auto Finesse Ltd,https://www.asa.org.uk/rulings/auto-finesse-ltd-a24-1263473-auto-finesse-ltd.html
Beer52 Ltd,https://www.asa.org.uk/rulings/beer52-ltd-a24-1251988-beer52-ltd.html
Better Health and Wellness,https://www.asa.org.uk/rulings/better-health-and-wellness-a24-1253883-better-health-and-wellness.html
Health and Wellness,https://www.asa.org.uk/rulings/health-and-wellness-a24-1253882-health-and-wellness.html
Help 4 Addiction Ltd,https://www.asa.org.uk/rulings/help-4-addiction-ltd-a24-1252124-help-4-addiction-ltd.html
IT Career Change Ltd,https://www.asa.org.uk/rulings/it-career-change-ltd-a24-1258686-it-career-change-ltd.html
Marketing VF Ltd t/a The Eco Experts,https://www.asa.org.uk/rulings/marketing-vf-ltd-a24-1253881-marketing-vf-ltd.html
Oakever Games PTE Ltd,https://www.asa.org.uk/rulings/oakever-games-pte-ltd-g24-1257433-oakever-games-pte-ltd.html
Origin Sleep UK Ltd t/a Origin Mattress,https://www.asa.org.uk/rulings/origin-sleep-uk-ltd-a24-1253221-origin-sleep-uk-ltd.html
Person(s) unknown t/a Sereni,https://www.asa.org.uk/rulings/person-s--unknown-a24-1253128-sereni.html
Rehabs.uk,https://www.asa.org.uk/rulings/rehabs-uk-a24-1252129-rehabs-uk.html
Serenity Rehabilitation Ltd t/a Serenity Addiction Centres,https://www.asa.org.uk/rulings/serenity-rehabilitation-ltd-a24-1252074-serenity-rehabilitation-ltd.html
UK Addiction Treatment Ltd t/a UKAT,https://www.asa.org.uk/rulings/uk-addiction-treatment-ltd-a24-1252013-uk-addiction-treatment-ltd.html
Valterous Ltd t/a Therapie Clinic,https://www.asa.org.uk/rulings/valterous-ltd-g24-1253503-valterous-ltd.html
Vivostore Ltd t/a Vivo Life,https://www.asa.org.uk/rulings/vivostore-ltd-a24-1253730-vivostore-ltd.html
Which Rehab Ltd,https://www.asa.org.uk/rulings/which-rehab-ltd-a24-1252126-which-rehab-ltd.html
Alchemy Bros Ltd t/a Energy Grant Access,https://www.asa.org.uk/rulings/alchemy-bros-ltd-a24-1252491-alchemy-bros-ltd.html
ECO4U LTD,https://www.asa.org.uk/rulings/eco4u-ltd-a24-1252489-eco4u-ltd.html
Guangzhou Shimo Culture Media Co Ltd,https://www.asa.org.uk/rulings/guangzhou-shimo-culture-media-co-ltd-g24-1262172-guangzhou-shimo-culture-media-co-ltd.html
Ignite Sustainable Energy Ltd t/a ignitese.co.uk,https://www.asa.org.uk/rulings/ignite-sustainable-energy-ltd-a24-1252405-ignite-sustainable-energy-ltd.html
Impact Energy Ltd,https://www.asa.org.uk/rulings/impact-energy-ltd-a24-1252475-impact-energy-ltd.html
Jaded London Ltd,https://www.asa.org.uk/rulings/jaded-london-ltd-a24-1262531-jaded-london-ltd.html
Lead Pronto Ltd t/a LeadPronto,https://www.asa.org.uk/rulings/lead-pronto-ltd-a24-1252418-lead-pronto-ltd.html
Metamind AI Ltd t/a AI Persona,https://www.asa.org.uk/rulings/metamind-ai-ltd-a24-1251099-metamind-ai-ltd.html
Ovira Australia t/a Ovira UK,https://www.asa.org.uk/rulings/ovira-australia-g24-1252527-ovira-australia.html
Pulsio Ltd,https://www.asa.org.uk/rulings/pulsio-ltd-a24-1262766-pulsio-ltd.html
Samsung Electronics (UK) Ltd t/a Samsung,https://www.asa.org.uk/rulings/samsung-electronics--uk--ltd-g24-1255968-samsung-electronics--uk--ltd.html
Sparring Partners Ltd t/a Gymbox,https://www.asa.org.uk/rulings/sparring-partners-ltd-g24-1263544-sparring-partners-ltd.html
get_0ut_0f_debt Ltd,https://www.asa.org.uk/rulings/get_0ut_0f_debt-ltd-a24-1262715-get_0ut_0f_debt-ltd.html
Bodystreet Franchise (UK) Ltd,https://www.asa.org.uk/rulings/bodystreet-franchise--uk--ltd-a24-1253486-bodystreet-franchise--uk--ltd.html
Churchill Retirement Living Ltd,https://www.asa.org.uk/rulings/churchill-retirement-living-ltd-a24-1248717-churchill-retirement-living-ltd.html
Vita Studio Pte Ltd,https://www.asa.org.uk/rulings/vita-studio-pte-ltd-g24-1253610-vita-studio-pte-ltd.html
Samsung Electronics (UK) Ltd,https://www.asa.org.uk/rulings/samsung-electronics--uk--ltd-a24-1252670-samsung-electronics--uk--ltd.html
Wizz Air Hungary Ltd,https://www.asa.org.uk/rulings/wizz-air-hungary-ltd-a24-1253458-wizz-air-hungary-ltd.html
"Aurum & Argenti Ltd t/a Bullion Club, bullionclub.co.uk",https://www.asa.org.uk/rulings/aurum---argenti-ltd-a24-1247594-aurum---argenti-ltd.html
Fern Brady,https://www.asa.org.uk/rulings/fern-brady-a24-1255841-fern-brady.html
Gold Warehouse Ltd t/a Gold Bank,https://www.asa.org.uk/rulings/gold-warehouse-ltd-a24-1252738-gold-warehouse-ltd.html
Gold Warehouse Ltd t/a Gold Bank,https://www.asa.org.uk/rulings/gold-warehouse-ltd-a24-1247596-gold-warehouse-ltd.html
Harrington & Byrne Ltd,https://www.asa.org.uk/rulings/harrington---byrne-ltd-a24-1247595-harrington---byrne-ltd.html
Solomon Global Ltd t/a Buy Bullion,https://www.asa.org.uk/rulings/solomon-global-ltd-a24-1247581-solomon-global-ltd.html
Stirling Health Ltd,https://www.asa.org.uk/rulings/stirling-health-ltd-a24-1248272-stirling-health-ltd.html
The Pure Gold Group Ltd t/a The Pure Gold Company,https://www.asa.org.uk/rulings/the-pure-gold-group-ltd-a24-1250872-the-pure-gold-group-ltd.html
Cult & Boutique (Wine Management) Ltd,https://www.asa.org.uk/rulings/cult---boutique--wine-management--ltd-a24-1249615-cult---boutique--wine-management--ltd.html
Cult Wines Ltd,https://www.asa.org.uk/rulings/cult-wines-ltd-a24-1249613-cult-wines-ltd.html
DeVosVoorzieningen BVBA t/a Qinux TitanPG,https://www.asa.org.uk/rulings/devosvoorzieningen-bvba-a24-1248171-devosvoorzieningen-bvba.html
Great Grass MCR Ltd t/a Great Grass,https://www.asa.org.uk/rulings/great-grass-mcr-ltd-a24-1257296-great-grass-mcr-ltd.html
Pegasus Homes Ltd t/a Pegasus Homes,https://www.asa.org.uk/rulings/pegasus-homes-ltd-a24-1248715-lifestory-group-ltd.html
Pegasus Homes Ltd t/a Pegasus Homes,https://www.asa.org.uk/rulings/pegasus-homes-ltd-a24-1248718-lifestory-group-ltd.html
Prime Star Shop Ltd t/a Branshaws,https://www.asa.org.uk/rulings/prime-star-shop-ltd-a24-1249990-prime-star-shop-ltd.html
Supreme CBD Ltd t/a Supreme CBD,https://www.asa.org.uk/rulings/supreme-cbd-ltd-a24-1253019-supreme-cbd-ltd.html
Vintage Associates Fine Wine Merchants Ltd,https://www.asa.org.uk/rulings/vintage-associates-fine-wine-merchants-ltd-a24-1249611-vintage-associates-fine-wine-merchants-ltd.html
Vinverum Ltd,https://www.asa.org.uk/rulings/vinverum-ltd-a24-1249614-vinverum-ltd.html
CurrencyWave Ltd t/a CurrencyWave,https://www.asa.org.uk/rulings/currencywave-ltd-a24-1236439-currencywave-ltd.html
Eurostar International Ltd,https://www.asa.org.uk/rulings/eurostar-international-ltd-a24-1247879-eurostar-international-ltd.html
Go Night Night (unconfirmed),https://www.asa.org.uk/rulings/go-night-night--unconfirmed--a24-1249218-go-night-night--unconfirmed-.html
The Boots Company plc,https://www.asa.org.uk/rulings/the-boots-company-plc-g24-1242237-the-boots-company-plc.html
Wickes Building Supplies Ltd t/a Wickes,https://www.asa.org.uk/rulings/wickes-building-supplies-ltd-g24-1254614-wickes-building-supplies-ltd.html
Just Eat.co.uk Ltd,https://www.asa.org.uk/rulings/just-eat-co-uk-ltd-g24-1248327-just-eat-co-uk-ltd.html
"Webloyalty International Ltd t/a Webloyalty, Complete Savings",https://www.asa.org.uk/rulings/webloyalty-international-ltd-g24-1229880-webloyalty-international-sarl-ltd.html
"Webloyalty International Ltd t/a Webloyalty, Complete Savings",https://www.asa.org.uk/rulings/webloyalty-international-ltd-a24-1248087-webloyalty-international-sarl-ltd.html
Sainsbury's Supermarkets Ltd t/a Sainsbury's,https://www.asa.org.uk/rulings/sainsbury-s-supermarkets-ltd-g24-1252121-sainsbury-s-supermarkets-ltd.html
Suntory Global Spirits UK Ltd,https://www.asa.org.uk/rulings/suntory-global-spirits-uk-ltd-a24-1244842-suntory-global-spirits-uk-ltd.html
Trav Expert Ltd t/a Travelcrew,https://www.asa.org.uk/rulings/trav-expert-ltd-a24-1243260-trav-expert-ltd.html
W8 Tech Cyprus Ltd t/a Seeking,https://www.asa.org.uk/rulings/w8-tech-cyprus-ltd-a24-1252606-w8-tech-cyprus-ltd.html
Ashlen Inc,https://www.asa.org.uk/rulings/ashlen-inc-a24-1245967-ashlen-inc.html
British Telecommunications plc t/a BT,https://www.asa.org.uk/rulings/british-telecommunications-plc-a24-1244734-british-telecommunications-plc.html
EE Ltd t/a EE,https://www.asa.org.uk/rulings/ee-ltd-a24-1244738-ee-ltd.html
Fanfinders Ltd,https://www.asa.org.uk/rulings/fanfinders-ltd-a24-1243842-fanfinders-ltd.html
Kentesh Ltd,https://www.asa.org.uk/rulings/kentesh-ltd-a24-1245956-kentesh-ltd.html
Kerry Foods Ltd,https://www.asa.org.uk/rulings/kerry-foods-ltd-a24-1244924-kerry-foods-ltd.html
Moderny Inc t/a Moderny.co,https://www.asa.org.uk/rulings/moderny-inc-a24-1245966-moderny-inc.html
Pall Mall Medical (Manchester) Ltd t/a Pall Mall Cosmetics,https://www.asa.org.uk/rulings/pall-mall-medical--manchester--ltd-a24-1252542-pall-mall-medical--manchester--ltd.html
Person(s) unknown t/a Goodysee,https://www.asa.org.uk/rulings/person-s--unknown-a24-1245965-person-s--unknown.html
Plusnet plc,https://www.asa.org.uk/rulings/plusnet-plc-a24-1244740-plusnet-plc.html
PlymGlow Ltd,https://www.asa.org.uk/rulings/plymglow-ltd-g24-1248081-plymglow-ltd.html
TalkTalk Telecom Ltd t/a TalkTalk,https://www.asa.org.uk/rulings/talktalk-telecom-ltd-a24-1244730-talktalk-telecom-ltd.html
Telefonica UK Ltd t/a O2,https://www.asa.org.uk/rulings/telefonica-uk-ltd-a24-1244736-telefonica-uk-ltd.html
Virgin Media Ltd,https://www.asa.org.uk/rulings/virgin-media-ltd-a24-1244733-virgin-media-ltd.html
Sunspot Tours Ltd t/a Mercury Holidays,https://www.asa.org.uk/rulings/sunspot-tours-ltd-a24-1245080-sunspot-tours-ltd.html
The BLAC Awards (UK) C.I.C t/a The BLAC Awards,https://www.asa.org.uk/rulings/the-blac-awards--uk--c-i-c-a24-1246302-the-blac-awards--uk--c-i-c.html
Adidas UK Ltd,https://www.asa.org.uk/rulings/adidas-uk-ltd-a24-1242252-adidas-uk-ltd.html
DAMM 1876 LTD,https://www.asa.org.uk/rulings/damm-1876-ltd-a24-1250287-sa-damm.html
Dataverse Co. Limited t/a Gamehaus,https://www.asa.org.uk/rulings/dataverse-co--limited-a24-1241349-dataverse-co--limited.html
Guang Zhou Shi Chen Ming Ke Ji You Xian Gong Si t/a MENGCOOL,https://www.asa.org.uk/rulings/guang-zhou-shi-chen-ming-ke-ji-you-xian-gong-si-a24-1242267-guang-zhou-shi-chen-ming-ke-ji-you-xian-gong-si.html
Huel Ltd,https://www.asa.org.uk/rulings/huel-ltd-a24-1240834-huel-ltd.html
