created_at,text,id,edit_history_tweet_ids,label
2025-04-25T01:52:34.000Z,Defensive coordinators about to have nightmares game planning. https://t.co/g5LZJj8rZa,1915584690234479099,['1915584690234479099'],0
2025-04-25T01:23:41.000Z,Good luck with that whole tackling thing. https://t.co/MFkKvb3RA6,1915577421690187835,['1915577421690187835'],0
2025-04-14T23:46:40.000Z,Texas just got tougher. No looking back for Paige Bueckers https://t.co/FHWhbap6eF,1911929128263229752,['1911929128263229752'],0
2025-04-13T23:21:30.000Z,"Four majors made @McIlroyRory great. Completing a career Grand Slam, legendary. https://t.co/inD1hyPkWr",1911560405375164686,['1911560405375164686'],0
2025-04-06T17:49:39.000Z,"EIGHT NINETY FIVE, ALL CAPS. Congrats to Alexander Ovechkin on breaking the NHL all-time goal scoring record. https://t.co/T6iIoo5tya",1908940176963125435,['1908940176963125435'],0
2025-03-20T16:06:04.000Z,"When you’re Sophia Wilson, you can never have too many goals. https://t.co/1zQxV9WGlt",1902753517531537604,['1902753517531537604'],0
2025-03-18T16:02:34.000Z,"Queens don’t ask for permission. 
Nobody rules the pitch like @alexiaputellas. https://t.co/lMxUxuT03I",1902027858715038141,['1902027858715038141'],0
2025-03-16T16:03:39.000Z,"Catch her everywhere…if you can.

@paigebueckers1 is here to make a statement. https://t.co/gq0V7iT2iI",1901303359099072549,['1901303359099072549'],0
2025-03-03T22:30:21.000Z,Shop the @ChilesJordan So Win Collection tee now.,1896689632135577990,['1896689632135577990'],0
2025-03-02T17:01:45.000Z,Sha’Carri Richardson knows her place. It’s first. https://t.co/W0Vvqo5ng4,1896244547052789846,['1896244547052789846'],0
2025-03-01T06:03:35.000Z,"Never Routine. 

@ChilesJordan https://t.co/AayNYEkLio",1895716528768893039,['1895716528768893039'],0
