created_at,id,text,edit_history_tweet_ids,label
2024-08-25T17:44:40.000Z,1827764041609368045,"VAMOSSS MEXICO CITY 🇲🇽👑

CLEAN SWEEP for  3-Stripes in the Mexican capital

🥇Edwin Kiprop Koptoo embraces the streets and brings home glory with a time of 2:10:36

🥇Fancy Chemutai flies past the pack for a photo finish in just 2:29:19

And 🥈Leonard Langat and 🥉Francis https://t.co/4NNZmG65sO",['1827764041609368045'],0
2024-08-10T18:25:28.000Z,1822338491574898898,"Emmanuel Wanyonyi is the 800m Olympic champion at 20 years old. 🥇

He’s something 𝘴𝘱𝘦𝘤𝘪𝘢𝘭. 🔥

#Paris2024 #YouGotThis https://t.co/wO6jQGMHFY",['1822338491574898898'],0
2024-08-10T12:12:23.000Z,1822244602352431292,"Show up to Paris, break an Olympic record. 😎

Tami Tola shows the world how it’s done in the men’s marathon. 🥇🔥

#Paris2024 #YouGotThis https://t.co/437x7b1W7S",['1822244602352431292'],0
2024-08-09T19:52:17.000Z,1821997951658479770,"With her very last throw, Yemisi Ogunleye comes up clutch for a glorious shotput gold 💪🥇 

#Paris2024 #YouGotThis https://t.co/TekUd45hay",['1821997951658479770'],0
2024-08-09T19:48:59.000Z,1821997122356428848,"🔥 400m Olympic record

🇩🇴 Dominican Republic’s first EVER female gold medalist 

A true icon, Marileidy Paulino 🙌

#Paris2024  #YouGotThis https://t.co/fiexGJheW1",['1821997122356428848'],0
2024-08-08T20:26:11.000Z,1821644095439188282,"@tallerdandem WONDER BOOOOOOOOOOY 🥇🔥 

That’s a first Olympic gold in the bag for @Flaamingoo_ 🦩 

#Paris2024 #YouGotThis https://t.co/ykvs107fQB",['1821644095439188282'],0
2024-08-07T20:52:37.000Z,1821288358473298281,"✅ Olympic record
🥇 One HUGE gold for @tallerdandem 

#Paris2024 #YouGotThis https://t.co/WH13YmqcmU",['1821288358473298281'],0
2024-08-07T20:48:23.000Z,1821287295036879281,"WOW @QuincyHall400 🥇🔥 There’s your place among the 400m greats.

#Paris2024 #YouGotThis https://t.co/9F8fm4CylL",['1821287295036879281'],0
2024-08-06T19:54:02.000Z,1820911227541057804,"BACK-TO-BACK for long jump's king – Miltiadis Tentoglou strikes again🥇🚀

#Paris2024 #YouGotThis https://t.co/Ownvd8wOzI",['1820911227541057804'],0
2024-08-04T20:30:43.000Z,1820195684458348598,"😮‍💨 @LylesNoah

#Paris2024 https://t.co/iRUrd1JVNs",['1820195684458348598'],0
2024-08-04T20:28:04.000Z,1820195018583245257,"9.79, @LylesNoah the fastest man in the world putting on a 100m show.

#Paris2024 #YouGotThis https://t.co/xyymld3kE1",['1820195018583245257'],0
2024-08-03T20:40:27.000Z,1819835745630306748,"It’s GOLD for @thea_lafond as she takes her country’s first EVER Olympic gold and secures a new national record 🥇

#Paris2024 #YouGotThis https://t.co/OSNjgNyOYn",['1819835745630306748'],0
2024-07-04T12:26:17.000Z,1808839750679249196,"It’s peachy in Atlanta 🍑🎉 /// DOUBLE win at @ajcprr  

🥇 Sabastian Sawe shows why he’s the world’s No.1-ranked road racer with 𝘢𝘯𝘰𝘵𝘩𝘦𝘳 10k triumph 

🥇 Stacy Ndiwa powers through in a thrilling sprint finish to take the honours 

👟 #Adizero Adios Pro Evo 1 https://t.co/FjRTXYudLC",['1808839750679249196'],0
2024-06-26T13:57:23.000Z,1805963571093807543,"The adidas Ultimate Guide to Street Football ⚽️🔥🎯

Featuring @BernardoCSilva, @julianalvarezzz, Raphinha &amp; @joaofelix70

#YouGotThis https://t.co/iFN0Yqo025",['1805963571093807543'],0
2024-06-23T15:05:47.000Z,1804893622057275752,"Three stripes run Boston /// 💪🇺🇸

🥇 Sabastian Sawe flies to his fourth 10k win in five races. 👟 Adizero Adios Pro Evo 1

🥇 And Melknat Wudu completes a HUGE Stateside double for her first road victory. 👟 Adizero Takumi Sen 10

#YouGotThis https://t.co/Ppo7r1gzAQ",['1804893622057275752'],0
2024-06-13T16:18:39.000Z,1801288082571796536,👀🎨 https://t.co/tJ68cCzMzE,['1801288082571796536'],0
2024-05-27T09:59:23.000Z,1795032043128070614,"Not foolin’ this time – adidas box shoes available in @Roblox
➡️ https://t.co/rCHjLZLFbV https://t.co/KjQ5LDqMdj",['1795032043128070614'],0
2024-05-25T18:09:04.000Z,1794430498300707163,U-N-I-T-E-D 🔴❤️ https://t.co/M9j0HCd4AX,['1794430498300707163'],0
2024-05-19T07:26:45.000Z,1792094529501143293,"Meanwhile, there were world lead times for @flaamingoo_ (13.07, 110m hurdles) and @akanisimbine (9.90, 100m) 🌎💪

@adidasATLGames
#ATLCityGames #YouGotThis #Adizero https://t.co/GGk319X8rf",['1792094529501143293'],0
2024-05-19T07:26:04.000Z,1792094356360544274,"Our track stars served up at the @adidasATLGames /// 🔥💨

As ever, @LylesNoah made it a party with a tied US 150m record of 14.41 🌶️🇺🇸

#ATLCityGames #YouGotThis #Adizero https://t.co/AIFu6xFsJS",['1792094356360544274'],0
2024-05-17T17:21:28.000Z,1791519416368206011,"Atlanta is about to get 𝘧𝘢𝘢𝘢𝘢𝘢𝘴𝘵. 🔥💨

Stream the @adidasATLGames LIVE on our YouTube this weekend – and catch the likes of @LylesNoah, @Flaamingoo_, @annaahalll and @Evaglobal01 in action.

Events start 3:45pm EDT 🇺🇸🫡

📺➡️  https://t.co/rel3T7Rrr2 https://t.co/UXAbgYk8NB",['1791519416368206011'],0
2024-05-08T12:33:56.000Z,1788185564581081519,"It’s only a bat, a ball and you. #YouGotThis  #T20Worldcup 

The new team India t20 jersey is now available in stores across India and on https://t.co/8XCz8p5KGu https://t.co/FcQUSkEUmQ",['1788185564581081519'],0
2024-05-07T06:00:01.000Z,1787724044877398205,"It’s only beating the world. #YouGotThis.
The new team India t20 jersey is now available in stores across India and on https://t.co/8XCz8p5KGu

#T20WorldCup https://t.co/ZBHh38DfLy",['1787724044877398205'],0
2024-05-06T13:04:54.000Z,1787468582416159087,"One jersey. One Nation.
Presenting the new Team India T20 jersey.

Available in stores and online from 7th may, at 10:00 AM. https://t.co/PkQKweEv95",['1787468582416159087'],0
2024-05-05T11:00:49.000Z,1787074966891958677,"A day of domination at @RunCzech Prague Marathon for our athletes 💥 

🥇 Lemi Berhanu adds to his Mumbai victory in January. 

🥇Bedatu Hirpa continues her winning streak after taking Riyadh in February.  👟 #Adizero Adios Pro 3 

And another three stripes podium SWEEP 💪

Men: https://t.co/K60JjzvDV7",['1787074966891958677'],0
2024-04-28T15:02:59.000Z,1784599198983184640,"𝑊ℎ𝑎𝑡 a race at @RNRmadmaraton today 🔥 

Naom Jebet started 2024 as she means to go on by taking a big win – her first of the year 🙌🇪🇸

👟 #Adizero Adios Pro 3 https://t.co/fQ3qsvZ392",['1784599198983184640'],0
2024-04-28T12:29:29.000Z,1784560566905831539,"We re-wrote history, and we did it in our own backyard. ✍️

One WORLD RECORD, two world U20 records, and nine national records, what more could we ask for? 

Adizero: Road to Records 2024 you have been special, congrats to all our athletes and thanks to our community. ❤️ https://t.co/oleUv8Kxy3",['1784560566905831539'],0
2024-04-27T13:21:07.000Z,1784211175174967372,"𝗡𝗔𝗧𝗜𝗢𝗡𝗔𝗟 𝗥𝗘𝗖𝗢𝗥𝗗 🇿🇦

Ryan Mphahlele takes third place but cements himself as South Africa’s new standard-bearer for the men’s one mile distance. 

Beating his PB by one second, he crosses the finish line in 3:56:40. 🏃

👟#Adizero Takumi Sen 10 #RoadToRecords https://t.co/GoQxhl24jF",['1784211175174967372'],0
2024-04-27T13:18:05.000Z,1784210410071077349,"𝗨𝟮𝟬 𝗪𝗢𝗥𝗟𝗗 𝗥𝗘𝗖𝗢𝗥𝗗 🌎

At just 18 years old, Collins Kibiwott Koech shows us that the future is bright for running. 

Finishing the day with another record, Collins brought it home in a time of 4:00:10 in the men’s one mile. 🙌

👟#Adizero Takumi Sen 10 #RoadToRecords https://t.co/28rS0nJdtk",['1784210410071077349'],0
2024-04-27T13:00:26.000Z,1784205968143679517,"𝗡𝗼𝘄 𝘁𝗵𝗮𝘁’𝘀 𝗵𝗼𝘄 𝘆𝗼𝘂 𝘄𝗶𝗻 𝗮 𝗿𝗮𝗰𝗲. 🥇

@marco_arop, the 2023 World Champion has another win under his belt, as he takes victory in the men’s 800m distance in a quick time of 1:44:30. 😮‍💨

👟#Adizero Takumi Sen 10 #RoadToRecords https://t.co/cOPlOP5hjP","['1784200466185719899', '1784205968143679517']",0
2024-04-27T12:59:07.000Z,1784205636391051403,"𝗪𝗢𝗢𝗢𝗥𝗥𝗥𝗟𝗗 𝗥𝗘𝗖𝗢𝗥𝗗 🌎🤯

Down to the wire. What a way to clinch the title. 🥇

After a finish-line sprint, the Kenyan Emmanuel Wanyonyi steals the victory and claims the record by a second, with an impressive time of 3:54:50  in the men’s one mile distance. https://t.co/pOtnDLNT1W",['1784205636391051403'],0
