id,edit_history_tweet_ids,created_at,text,label
1933164031881138680,['1933164031881138680'],2025-06-12T14:06:36.000Z,party with me and grimace tn in chicago. RSVP link in bio,0
1933163076645175587,['1933163076645175587'],2025-06-12T14:02:48.000Z,we are so back https://t.co/xpTrcsUUer,0
1932852411875348607,['1932852411875348607'],2025-06-11T17:28:20.000Z,👀 https://t.co/PzQ7B624Ac,0
1932832867379523625,['1932832867379523625'],2025-06-11T16:10:40.000Z,freaking out rn i have 24 hrs https://t.co/tUFIXeswNg https://t.co/1wFfYeDJo2,0
1932800220229992802,['1932800220229992802'],2025-06-11T14:00:56.000Z,tmrw is 6/12. im not okay.,0
1932800218787164458,['1932800218787164458'],2025-06-11T14:00:56.000Z,help,0
1930642715663839366,['1930642715663839366'],2025-06-05T15:07:47.000Z,“can i take ur order?” ok stop flirting with me,0
1929894126507430155,['1929894126507430155'],2025-06-03T13:33:10.000Z,"i don’t usually do this, and i didn’t run this by brian from legal (sorry brian). but i have something to say. not as mcdonald’s but as the person behind the mcdonald’s account.

i once posted, “social media managers don’t control the menu.” as much as i hated admitting it at the",0
1929894124582207766,['1929894124582207766'],2025-06-03T13:33:09.000Z,snack wrap 07.10.2025,0
1927742180581401083,['1927742180581401083'],2025-05-28T15:02:06.000Z,"some of the podcasts y’all are listening
to in the drive thru…",0
1926663357374824809,['1926663357374824809'],2025-05-25T15:35:14.000Z,@animeDANDADANen don't ask me who's getting the orange juice and who's getting the milk idk,0
1926658805061808498,['1926658805061808498'],2025-05-25T15:17:09.000Z,this was his second order of the day btw,0
1926658801752567912,['1926658801752567912'],2025-05-25T15:17:08.000Z,a hero shares the meat but pirates eat all the meat @Eiichiro_Staff https://t.co/GCRVodTBOD,0
1926655455373250584,['1926655455373250584'],2025-05-25T15:03:50.000Z,ichigo u are what u eat @BLEACHanimation #BLEACH https://t.co/hoQqYWx2XQ,0
1926654030723375606,['1926654030723375606'],2025-05-25T14:58:11.000Z,dragon’s whisker is NOT an ingredient @ranma_pr #ranma12 https://t.co/qUGVtJd5TS,0
1926651626380464639,['1926651626380464639'],2025-05-25T14:48:37.000Z,oatmeal is similar to cobbler so this checks out @kusuriya_PR @crunchyroll #AniMay #AnimeAwards https://t.co/UaQyEpGtyG,0
1926649574673789267,['1926649574673789267'],2025-05-25T14:40:28.000Z,"ah @KaijuNo8_O_EN @crunchyroll #AniMay
#AnimeAwards #kaiju8 https://t.co/0Sz4G35Ad4",0
1926648097469280267,['1926648097469280267'],2025-05-25T14:34:36.000Z,he only gets this after he wins so nice game yoichi @Blue_Lock_En @crunchyroll #AniMay #AnimeAwards https://t.co/Cdp3pFpR4a,0
1926645453279449259,['1926645453279449259'],2025-05-25T14:24:06.000Z,is this a date or two friends catching up @animeDANDADANen #dandadan https://t.co/RvvD6RM8ft,0
1926644301095666149,['1926644301095666149'],2025-05-25T14:19:31.000Z,@Anime_Frieren @Crunchyroll i wonder what Fern would order for breakfast tbh,0
1926643747929903131,['1926643747929903131'],2025-05-25T14:17:19.000Z,surprising considering the height and name @AttackOnTitanEN #AniMay #AnimeAwards https://t.co/dOfUwIKgzW,0
1926642461130076173,['1926642461130076173'],2025-05-25T14:12:12.000Z,@sololeveling_en ARIIIIIIIIIIIIIIIIISE,0
1926642046539894922,['1926642046539894922'],2025-05-25T14:10:33.000Z,brb activating domain of the monarch skill with grape jam @sololeveling_en #AniMay #AnimeAwards https://t.co/UluL1ZD4MK,0
1926640749975658533,['1926640749975658533'],2025-05-25T14:05:24.000Z,she really loves steak doesnt she @Anime_Frieren @crunchyroll #AniMay #AnimeAwards #frieren https://t.co/eBBEA9gaId,0
1925190087760847194,['1925190087760847194'],2025-05-21T14:00:59.000Z,wanted to fall asleep to white noise so i just took off the lid of my sprite,0
1922668230549602375,['1922668230549602375'],2025-05-14T15:00:02.000Z,"starting a third drive thru where i can say
u did a good job",0
1922290993765761159,['1922290993765761159'],2025-05-13T14:01:02.000Z,i'm a grown up i do grown up things like errands and getting my Squishmallows Happy Meal today https://t.co/0oxBl6VRVl,0
1920515678991208881,['1920515678991208881'],2025-05-08T16:26:33.000Z,just accidentally called ronald dad,0
1919782757225390465,['1919782757225390465'],2025-05-06T15:54:11.000Z,forgot to tell Grimace it wasnt the @mets gala https://t.co/djrI8tOUJC,0
1919395730394906745,['1919395730394906745'],2025-05-05T14:16:17.000Z,my fave dipping utensil is here. and it’s chicken. McCrispy Strips and dip are out now. https://t.co/O927fG0amP,0
1917960035390366081,['1917960035390366081'],2025-05-01T15:11:21.000Z,is a cup of ice technically a water cup,0
1917233156526166198,['1917233156526166198'],2025-04-29T15:02:59.000Z,i promise i didnt punch your McChicken,0
1916886324033835022,['1916886324033835022'],2025-04-28T16:04:48.000Z,when the text autocorrects you all to “yall” https://t.co/foaTrwIqyZ,0
1915391354282127537,['1915391354282127537'],2025-04-24T13:04:19.000Z,"warning to all sauces
McCrispy Strips and dip drop 5.5 https://t.co/koOcIU8sHL",0
1915060797815787645,['1915060797815787645'],2025-04-23T15:10:48.000Z,it’s okay if ur hairline looks like our logo &lt;3,0
1912912257421279429,['1912912257421279429'],2025-04-17T16:53:17.000Z,asked ai to give our menu items human names https://t.co/yfNmiJgBI1,0
1912521724978999743,['1912521724978999743'],2025-04-16T15:01:26.000Z,"“want anything from mcdonald’s?”

🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹
🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹
🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹
🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹
🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹
🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹",0
1912159941588025689,['1912159941588025689'],2025-04-15T15:03:50.000Z,snack wraps 0x.14.2025,0
1910368110042824822,['1910368110042824822'],2025-04-10T16:23:45.000Z,chicken jockey has some competition https://t.co/g3QJYi5m3q,0
1909058892916773038,['1909058892916773038'],2025-04-07T01:41:23.000Z,tell the chat we’re live rn https://t.co/nxopUYRpbl https://t.co/S6KMv1CmVj,0
1908916191717958125,['1908916191717958125'],2025-04-06T16:14:20.000Z,"Grimace, Birdie and Hamburglar are ON TWITCH tn for A Minecraft Movie Meal stream https://t.co/LYDY8NiaUT",0
1907094722721829084,['1907094722721829084'],2025-04-01T15:36:28.000Z,"tfw @AMinecraftMovie meal has entered the chat

get 1 of 6 new collectibles + unlock an exclusive in-game skin. out now https://t.co/cLFBpHxz9E",0
1905335657490514013,['1905335657490514013'],2025-03-27T19:06:34.000Z,hamburglar hut tour when? see u 4.1 https://t.co/HlU40OY2O7,0
1904266831889874966,['1904266831889874966'],2025-03-24T20:19:26.000Z,morning routine https://t.co/7ayI54PRhg,0
1902708283082781177,['1902708283082781177'],2025-03-20T13:06:19.000Z,ok @aminecraftmovie meal AND happy meal spawn in ur biome 4/1 wyd? https://t.co/gzMvmmLaOJ,0
1902344634153533785,['1902344634153533785'],2025-03-19T13:01:19.000Z,"if yk what portal he just stepped thru text ""BUILD"" to +17079324826 https://t.co/nIwHM5wLGc",0
1901697804432498756,['1901697804432498756'],2025-03-17T18:11:03.000Z,ootd https://t.co/xW5ynH7p5v,0
1899866010837995554,['1899866010837995554'],2025-03-12T16:52:09.000Z,when i say robble u say ________ https://t.co/t6FI5jEkFp,0
1899483367181070712,['1899483367181070712'],2025-03-11T15:31:40.000Z,game face on for the first ever McDonald’s All American Games Happy Meal… out now https://t.co/dm2SbxeToR,0
1896944006367727967,['1896944006367727967'],2025-03-04T15:21:09.000Z,alright legal said I need to chill on saying how much i like breakfast https://t.co/fjCyHD0ABf,0
1896941476036345995,['1896941476036345995'],2025-03-04T15:11:06.000Z,i don’t care if i get fired for this but the breakfast menu is better,0
1896939948781281759,['1896939948781281759'],2025-03-04T15:05:01.000Z,@ lunch come outside i just wanna talk,0
1896939538297290962,['1896939538297290962'],2025-03-04T15:03:24.000Z,can we get a heck yeah https://t.co/4FWbxkZqla,0
1896566271317266590,['1896566271317266590'],2025-03-03T14:20:10.000Z,so this is how he gets so handsome https://t.co/Xee6RviMHp,0
1896566267915686395,['1896566267915686395'],2025-03-03T14:20:09.000Z,our protein queen @TEYANATAYLOR https://t.co/DX8gyIuSOH,0
1896566264170189287,['1896566264170189287'],2025-03-03T14:20:08.000Z,a divine order @colmandomingo https://t.co/RODrREyacQ,0
1896566261053825502,['1896566261053825502'],2025-03-03T14:20:07.000Z,yup https://t.co/9aJe5Kc9Le,0
1896566258029768888,['1896566258029768888'],2025-03-03T14:20:07.000Z,he does his own stunts so he can order whatever he wants for breakfast https://t.co/tznk9QGQ01,0
1896566255114690900,['1896566255114690900'],2025-03-03T14:20:06.000Z,name wrong order right https://t.co/m8XOAEUZUu,0
1896566252061254103,['1896566252061254103'],2025-03-03T14:20:05.000Z,the ‘b’ stands for breakfast https://t.co/N7DMjLanuP,0
1896566248722538638,['1896566248722538638'],2025-03-03T14:20:04.000Z,what is she cooking with the mayo https://t.co/14oL0pgQ8Y,0
1896566245367173361,['1896566245367173361'],2025-03-03T14:20:04.000Z,21st century black coffee https://t.co/5jpipJYjYl,0
1896566242397618602,['1896566242397618602'],2025-03-03T14:20:03.000Z,so julia https://t.co/8xDaEwYzqu,0
